original_archive	original_filename	extracted_path	sha256	module	semester	material_type	academic_year	source	provenance	classification_confidence	organized_location	duplicate_status	duplicate_of	content_status	notes	subtopic	integration_status	canonical_info
L1---informatique-part-01.zip	L1---informatique/SM TD2 - prof Ounnaci.pdf	extracted/L1---informatique-part-01/L1---informatique/SM TD2 - prof Ounnaci.pdf	6752ed581a19ec52209e8eca7893ccd66e2a4f5c5b14342568fed40b1453e14b	S1/Structure-de-machine-1	S1	OTHER	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Structure-de-machine-1/Autres/SM TD2 - prof Ounnaci.pdf	NEW		pdf_parsed (1p)		numérations	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/VAR1234SM1Interro_5829f2e51ba3120bb96d9f314e888785 (1).pdf	extracted/L1---informatique-part-01/L1---informatique/VAR1234SM1Interro_5829f2e51ba3120bb96d9f314e888785 (1).pdf	ca38814fe4a00ff1d31c851d7be3ef62a5f2f6c22374207137be9f24cc87d174	S1/Structure-de-machine-1	S1	OTHER	2025-2026	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Structure-de-machine-1/Autres/VAR1234SM1Interro_5829f2e51ba3120bb96d9f314e888785 (1).pdf	NEW		pdf_parsed (4p)		numérations	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/test1-S1-2021-2022.pdf	extracted/L1---informatique-part-01/L1---informatique/test1-S1-2021-2022.pdf	f91eac7b521d6cd3358609733092166b34ebe005b24b860d50b2566d7afb9fa0	S1/Structure-de-machine-1	S1	EXAM	2021-2022	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	MEDIUM	organized/S1/Structure-de-machine-1/Examens/test1-S1-2021-2022.pdf	NEW		pdf_parsed (16p)		general	PLACED_CANONICAL	canonical of 1 exact duplicates
L1---informatique-part-01.zip	L1---informatique/Serie3 StrM1_2526.pdf	extracted/L1---informatique-part-01/L1---informatique/Serie3 StrM1_2526.pdf	e34480b94b0dc53ccd03c1f49da4fe37a158abd49a4f947035c306493847acff	UNCLASSIFIED	UNCLASSIFIED	EXERCISES	ACADEMIC_YEAR_UNKNOWN	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	LOW	organized/UNCLASSIFIED/Autres/Serie3 StrM1_2526.pdf	NEW		pdf_parsed (2p)		general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Micro1.pdf	extracted/L1---informatique-part-01/L1---informatique/Micro1.pdf	d143522fab4c2f1a61e04f9b594d1b423289e70f7a36b901ce965ee7e75a3092	S2/Algebre-2	S2	OTHER	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/S2/Algebre-2/Autres/Micro1.pdf	NEW		pdf_parsed (1p)		structures-algébriques	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/MICRO-B1.pdf	extracted/L1---informatique-part-01/L1---informatique/MICRO-B1.pdf	dd6e80655287e6790438c3726c70e55cf3144c9a06dc0d450dcbf6cf3a16c972	S2/Algebre-2	S2	OTHER	2024-2025	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	LOW	organized/S2/Algebre-2/Autres/MICRO-B1.pdf	NEW		pdf_parsed (1p)		structures-algébriques	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Examen6+Solution Structure Machine 1.pdf	extracted/L1---informatique-part-01/L1---informatique/Examen6+Solution Structure Machine 1.pdf	3a45e84128495dc6fbfae0cacb30ff34a6acc20fe591a705e5080d6de370a473	UNCLASSIFIED	UNCLASSIFIED	EXAM	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/UNCLASSIFIED/Autres/Examen6+Solution Structure Machine 1.pdf	NEW		PDF_NO_TEXT_LAYER (3p)		general	PLACED_CANONICAL	canonical of 1 exact duplicates
L1---informatique-part-01.zip	L1---informatique/Examen5+Solution Structure Machine 1.pdf	extracted/L1---informatique-part-01/L1---informatique/Examen5+Solution Structure Machine 1.pdf	6688b15b974b29c1db554c6a9b3df115e1b942d545dcc4f643cab892a262ec58	S1/Structure-de-machine-1	S1	EXAM	ACADEMIC_YEAR_UNKNOWN	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Structure-de-machine-1/Examens/Examen5+Solution Structure Machine 1.pdf	NEW		pdf_parsed (6p)	nombre 4-chiffres nu dans le texte, non retenu comme preuve d'annee	numérations	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Examen1+Solution Structure Machine 1 (1).pdf	extracted/L1---informatique-part-01/L1---informatique/Examen1+Solution Structure Machine 1 (1).pdf	e90075277984e7cd419a7477e42c73c0616a0bda301159ca2e346e139cb48581	S1/Structure-de-machine-1	S1	EXAM	2022-2023	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Structure-de-machine-1/Examens/Examen1+Solution Structure Machine 1 (1).pdf	NEW		pdf_parsed (4p)		numérations	PLACED_CANONICAL	canonical of 1 exact duplicates
L1---informatique-part-01.zip	L1---informatique/Examen1+Solution Structure Machine 1.pdf	extracted/L1---informatique-part-01/L1---informatique/Examen1+Solution Structure Machine 1.pdf	e90075277984e7cd419a7477e42c73c0616a0bda301159ca2e346e139cb48581	S1/Structure-de-machine-1	S1	EXAM	2022-2023	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	—	EXACT_DUPLICATE	L1---informatique-part-01.zip/extracted/L1---informatique-part-01/L1---informatique/Examen1+Solution Structure Machine 1 (1).pdf	pdf_parsed (4p)		numérations	DUPLICATE_NOT_COPIED	canonical copy: organized/S1/Structure-de-machine-1/Examens/Examen1+Solution Structure Machine 1 (1).pdf
L1---informatique-part-01.zip	L1---informatique/Cour 1.pdf	extracted/L1---informatique-part-01/L1---informatique/Cour 1.pdf	edb510852c8c35ec20a16d02c66afee3924fb6809712f1825e3846b01a960eb7	UNCLASSIFIED	UNCLASSIFIED	LECTURE	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/UNCLASSIFIED/Autres/Cour 1.pdf	NEW		pdf_parsed (16p)		general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Exam 1 + solution archi (1).pdf	extracted/L1---informatique-part-01/L1---informatique/Exam 1 + solution archi (1).pdf	0bdd95cc1fd2a5ef61b6e4acec5349c66f4d0edec46882fe1795628c7d750087	S1/Structure-de-machine-1	S1	EXAM	2022-2023	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Structure-de-machine-1/Examens/Exam 1 + solution archi (1).pdf	NEW		pdf_parsed (3p)		numérations	PLACED_CANONICAL	canonical of 2 exact duplicates
L1---informatique-part-01.zip	L1---informatique/travail_Maison_25_26.pdf	extracted/L1---informatique-part-01/L1---informatique/travail_Maison_25_26.pdf	42bfc540059eb50ad7f956662373d1855e5114b965228d933d108431789eab6b	S1/Structure-de-machine-1	S1	OTHER	2025-2026	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	MEDIUM	organized/S1/Structure-de-machine-1/Autres/travail_Maison_25_26.pdf	NEW		pdf_parsed (4p)		general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/test1-S1-2021-2022 (1).pdf	extracted/L1---informatique-part-01/L1---informatique/test1-S1-2021-2022 (1).pdf	f91eac7b521d6cd3358609733092166b34ebe005b24b860d50b2566d7afb9fa0	S1/Structure-de-machine-1	S1	EXAM	2021-2022	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	MEDIUM	—	EXACT_DUPLICATE	L1---informatique-part-01.zip/extracted/L1---informatique-part-01/L1---informatique/test1-S1-2021-2022.pdf	pdf_parsed (16p)		general	DUPLICATE_NOT_COPIED	canonical copy: organized/S1/Structure-de-machine-1/Examens/test1-S1-2021-2022.pdf
L1---informatique-part-01.zip	L1---informatique/serie2_STRM1_25_26.pdf	extracted/L1---informatique-part-01/L1---informatique/serie2_STRM1_25_26.pdf	67861489ef9380cc4fd720776af51db33d8b59bc48640f0d931dc7c2a8a625f5	S1/Structure-de-machine-1	S1	EXERCISES	2025-2026	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Structure-de-machine-1/Series/serie2_STRM1_25_26.pdf	NEW		pdf_parsed (3p)		general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Micro-Adjissi.pdf	extracted/L1---informatique-part-01/L1---informatique/Micro-Adjissi.pdf	c0ba6881502831bafc7dc81a2c7b1328368691a3320850e6b26d40fb431d9522	UNCLASSIFIED	UNCLASSIFIED	OTHER	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/UNCLASSIFIED/Autres/Micro-Adjissi.pdf	NEW		PDF_NO_TEXT_LAYER (1p)		general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Examen6+Solution Structure Machine 1 (1).pdf	extracted/L1---informatique-part-01/L1---informatique/Examen6+Solution Structure Machine 1 (1).pdf	3a45e84128495dc6fbfae0cacb30ff34a6acc20fe591a705e5080d6de370a473	UNCLASSIFIED	UNCLASSIFIED	EXAM	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	—	EXACT_DUPLICATE	L1---informatique-part-01.zip/extracted/L1---informatique-part-01/L1---informatique/Examen6+Solution Structure Machine 1.pdf	PDF_NO_TEXT_LAYER (3p)		general	DUPLICATE_NOT_COPIED	canonical copy: organized/UNCLASSIFIED/Autres/Examen6+Solution Structure Machine 1.pdf
L1---informatique-part-01.zip	L1---informatique/Examen2+Solution Structure Machine 1.pdf	extracted/L1---informatique-part-01/L1---informatique/Examen2+Solution Structure Machine 1.pdf	b144cbc6df7a98f18a02e3b5b036395f33d65ca7268e448ddfdfc0d1fdccd667	S1/Structure-de-machine-1	S1	EXAM	2022-2023	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Structure-de-machine-1/Examens/Examen2+Solution Structure Machine 1.pdf	NEW		pdf_parsed (4p)		numérations	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Corrig-_EXM_INFO_1_2025_2026 .pdf	extracted/L1---informatique-part-01/L1---informatique/Corrig-_EXM_INFO_1_2025_2026 .pdf	6e000a9c8c163b6ea1309d74671cf254eae699cb620ab4618e5d9b88dcb9f351	S1/Algorithmique-ASD-1	S1	CORRECTION	2025-2026	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Algorithmique-ASD-1/Corriges/Corrig-_EXM_INFO_1_2025_2026 .pdf	NEW		pdf_parsed (2p)		fondamentaux	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/mi-1an13-ctrl_con1-algo16.pdf	extracted/L1---informatique-part-01/L1---informatique/mi-1an13-ctrl_con1-algo16.pdf	409c4290cc498d467592e489e69896bed28197c5080414dc57355b4ea2ae3d8d	S2/Electronique-generale	S2	CORRECTION	ACADEMIC_YEAR_UNKNOWN	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S2/Electronique-generale/Corriges/mi-1an13-ctrl_con1-algo16.pdf	NEW		pdf_parsed (3p)	nombre 4-chiffres nu dans le texte, non retenu comme preuve d'annee	general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/TEST TP Janvier 2020 (sujet 1)v1 (1).pdf	extracted/L1---informatique-part-01/L1---informatique/TEST TP Janvier 2020 (sujet 1)v1 (1).pdf	e73380157f2ed7c82c6b210a3ee662f0487ae1fbfba7dc003c583ee368a2fb0e	UNCLASSIFIED	UNCLASSIFIED	EXAM	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/UNCLASSIFIED/Autres/TEST TP Janvier 2020 (sujet 1)v1 (1).pdf	NEW		pdf_parsed (4p)	nombre 4-chiffres nu dans le texte, non retenu comme preuve d'annee	general	PLACED_CANONICAL	canonical of 1 exact duplicates
L1---informatique-part-01.zip	L1---informatique/TD-6 Matrices.pdf	extracted/L1---informatique-part-01/L1---informatique/TD-6 Matrices.pdf	2ce49de68a1ed99084e54ac4da6e00fe9d8e8d74b0adf2b97fa66116d877fa03	S2/Algebre-2	S2	TD	ACADEMIC_YEAR_UNKNOWN	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S2/Algebre-2/TD/TD-6 Matrices.pdf	NEW		pdf_parsed (2p)		applications-linéaires	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/9- Structs.pdf	extracted/L1---informatique-part-01/L1---informatique/9- Structs.pdf	ae460b3f1a6c59b12693182befb56f01f5d0da6f6f4ee80f0c512f483e4cb4bf	S1/Algorithmique-ASD-1	S1	OTHER	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/S1/Algorithmique-ASD-1/Autres/9- Structs.pdf	NEW		pdf_parsed (6p)		fondamentaux	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/LMD Maths ALGEBRE1.pdf	extracted/L1---informatique-part-01/L1---informatique/LMD Maths ALGEBRE1.pdf	52c4eec5e82c2bf561fcaaef950a8abdaca1dfca9c652202d28632c682bb53fe	S1/Algebre-1	S1	OTHER	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Algebre-1/Autres/LMD Maths ALGEBRE1.pdf	NEW		pdf_parsed (55p)	nombre 4-chiffres nu dans le texte, non retenu comme preuve d'annee	general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Examen5_Analyse_1_MI-L1-1.pdf	extracted/L1---informatique-part-01/L1---informatique/Examen5_Analyse_1_MI-L1-1.pdf	28f5271559944feb8e109aaded62c7ee8f5354cf64c31e737a02f11c9b581a05	S1/Analyse-1	S1	EXAM	2019-2020	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Analyse-1/Examens/Examen5_Analyse_1_MI-L1-1.pdf	NEW		pdf_parsed (4p)		general	PLACED_CANONICAL	canonical of 1 exact duplicates
L1---informatique-part-01.zip	L1---informatique/2021-2022 ELTD.pdf	extracted/L1---informatique-part-01/L1---informatique/2021-2022 ELTD.pdf	b03968e986b5ec1fa2312154d3d4e5bed442ed80f979cca9e871050ae40fe39e	S1/Algorithmique-ASD-1	S1	OTHER	2021-2022	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Algorithmique-ASD-1/Autres/2021-2022 ELTD.pdf	NEW		pdf_parsed (1p)		tableaux	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/TEST TP Janvier 2020 (sujet 2)v1 (1).pdf	extracted/L1---informatique-part-01/L1---informatique/TEST TP Janvier 2020 (sujet 2)v1 (1).pdf	2305de46badfcf4ce0b7da550f1a2fd1fc2be4493017d3783a1a7ad5f89142a3	UNCLASSIFIED	UNCLASSIFIED	EXAM	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/UNCLASSIFIED/Autres/TEST TP Janvier 2020 (sujet 2)v1 (1).pdf	NEW		pdf_parsed (4p)	nombre 4-chiffres nu dans le texte, non retenu comme preuve d'annee	general	PLACED_CANONICAL	canonical of 1 exact duplicates
L1---informatique-part-01.zip	L1---informatique/TEST TP Janvier 2020 (sujet 2)v1.pdf	extracted/L1---informatique-part-01/L1---informatique/TEST TP Janvier 2020 (sujet 2)v1.pdf	2305de46badfcf4ce0b7da550f1a2fd1fc2be4493017d3783a1a7ad5f89142a3	UNCLASSIFIED	UNCLASSIFIED	EXAM	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	—	EXACT_DUPLICATE	L1---informatique-part-01.zip/extracted/L1---informatique-part-01/L1---informatique/TEST TP Janvier 2020 (sujet 2)v1 (1).pdf	pdf_parsed (4p)	nombre 4-chiffres nu dans le texte, non retenu comme preuve d'annee	general	DUPLICATE_NOT_COPIED	canonical copy: organized/UNCLASSIFIED/Autres/TEST TP Janvier 2020 (sujet 2)v1 (1).pdf
L1---informatique-part-01.zip	L1---informatique/TEST TP Janvier 2020 (sujet 1)v1.pdf	extracted/L1---informatique-part-01/L1---informatique/TEST TP Janvier 2020 (sujet 1)v1.pdf	e73380157f2ed7c82c6b210a3ee662f0487ae1fbfba7dc003c583ee368a2fb0e	UNCLASSIFIED	UNCLASSIFIED	EXAM	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	—	EXACT_DUPLICATE	L1---informatique-part-01.zip/extracted/L1---informatique-part-01/L1---informatique/TEST TP Janvier 2020 (sujet 1)v1 (1).pdf	pdf_parsed (4p)	nombre 4-chiffres nu dans le texte, non retenu comme preuve d'annee	general	DUPLICATE_NOT_COPIED	canonical copy: organized/UNCLASSIFIED/Autres/TEST TP Janvier 2020 (sujet 1)v1 (1).pdf
L1---informatique-part-01.zip	L1---informatique/Solution TEST TP Janvier 2018 (1).pdf	extracted/L1---informatique-part-01/L1---informatique/Solution TEST TP Janvier 2018 (1).pdf	4ea31e6ea0978d9d5243429b9cbc4f86f8a682f3ebb3568b1772773d06d1f4b4	S1/Algorithmique-ASD-1	S1	EXAM	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/S1/Algorithmique-ASD-1/Examens/Solution TEST TP Janvier 2018 (1).pdf	NEW		pdf_parsed (4p)	nombre 4-chiffres nu dans le texte, non retenu comme preuve d'annee	general	PLACED_CANONICAL	canonical of 1 exact duplicates
L1---informatique-part-01.zip	L1---informatique/Solution Interogation Janvier 2020 - SB (1).pdf	extracted/L1---informatique-part-01/L1---informatique/Solution Interogation Janvier 2020 - SB (1).pdf	9b46add4a0cbbf9534b4d13e629c960c4a61457ffca869caf4e897e564750be3	S1/Algorithmique-ASD-1	S1	OTHER	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	HIGH	organized/S1/Algorithmique-ASD-1/Autres/Solution Interogation Janvier 2020 - SB (1).pdf	NEW		pdf_parsed (4p)	nombre 4-chiffres nu dans le texte, non retenu comme preuve d'annee	fondamentaux	PLACED_CANONICAL	canonical of 1 exact duplicates
L1---informatique-part-01.zip	L1---informatique/cours info(1).pdf	extracted/L1---informatique-part-01/L1---informatique/cours info(1).pdf	dd456e8fc19f9d78d60d669d669ff1729ae3c68e63316b610db5b180f83c856b	S1/Structure-de-machine-1	S1	COURSE	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	MEDIUM	organized/S1/Structure-de-machine-1/Cours/cours info(1).pdf	NEW		pdf_parsed (9p)		flottants-IEEE	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Chapter_5_Two_dimensional_array_f83dc9c92780e5cf4f87242e6ad9eea6.pdf	extracted/L1---informatique-part-01/L1---informatique/Chapter_5_Two_dimensional_array_f83dc9c92780e5cf4f87242e6ad9eea6.pdf	ebc7dee4f043930e76adc63b6725d87a5d70997c0e91ca53bc71cd0e256e4aca	S2/Algebre-2	S2	OTHER	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/S2/Algebre-2/Autres/Chapter_5_Two_dimensional_array_f83dc9c92780e5cf4f87242e6ad9eea6.pdf	NEW		PDF_NO_TEXT_LAYER (3p)		espaces-vectoriels	PLACED_CANONICAL	canonical of 1 exact duplicates
L1---informatique-part-01.zip	L1---informatique/Examen6_Analyse_1_MI-L1.pdf	extracted/L1---informatique-part-01/L1---informatique/Examen6_Analyse_1_MI-L1.pdf	f521724bfa04c9bbdbbc95c6a1924f2a1341de4a4c23f7b329d25c850b9588bf	UNCLASSIFIED	UNCLASSIFIED	EXAM	ACADEMIC_YEAR_UNKNOWN	UNKNOWN	TELEGRAM_USER_PROVIDED	LOW	organized/UNCLASSIFIED/Autres/Examen6_Analyse_1_MI-L1.pdf	NEW		PDF_NO_TEXT_LAYER (5p)		general	PLACED_CANONICAL	canonical
L1---informatique-part-01.zip	L1---informatique/Examen5_Analyse_1_MI-L1.pdf	extracted/L1---informatique-part-01/L1---informatique/Examen5_Analyse_1_MI-L1.pdf	28f5271559944feb8e109aaded62c7ee8f5354cf64c31e737a02f11c9b581a05	S1/Analyse-1	S1	EXAM	2019-2020	PUBLIC_UNIVERSITY	TELEGRAM_USER_PROVIDED	HIGH	—	EXACT_DUPLICATE	L1---informatique-part-01.zip/extracted/L1---informatique-part-01/L1---informatique/Examen5_Analyse_1_MI-L1-1.pdf	pdf_parsed (4p)		general	DUPLICATE_NOT_COPIED	canonical copy: organized/S1/Analyse-1/Examens/Examen5_Analyse_1_MI-L1-1.pdf
