module	semestre	materiel	type	annee_universitaire	source_provenance	url_acces	obtenu	verification	note
Algèbre 1	S1	Cours "Algèbre 1 -S1- 2020-2021 Coef3 Crédits5" (id 3970)	cours	2020-2021	OFFICIAL_UBMA	course/view.php?id=3970	INVENTORIE	—	guest OK; H. Amri; ⚠️ coef 3/crédits 5 = divergence avec Catalogue (2/4) — documenté, non arbitré
Algèbre 2	S2	Cours "Algèbre 2" (id 1201) + TD Algèbre 2 (id 1474)	cours+TD	2019-2020 (estimation)	OFFICIAL_UBMA	course/view.php?id=1201 ; id=1474	INVENTORIE	—	guest OK; A. Djebabla / TD H. Amri
Structure Machine 2	S2	Cours "Structure Machine 2 S2 2019-2020 Coef2 Crédits4" (id 1206)	cours	2019-2020	OFFICIAL_UBMA	course/view.php?id=1206	INVENTORIE	—	guest OK; N. Kobsi
Structure Machine 2	S2	Examen Année 2018-2019 (énoncé + corrigé)	examen+corrigé	2018-2019	OFFICIAL_UBMA	mod/resource/view.php?id=27674 (+ TD 1478 "Corrigés des Examens")	capture énoncé+corrigé OBTENUES (2 fichiers md)	capture énoncé/corrigé ci-après	section officielle « Corrigés des Examens »
Logique mathématique	S2	(à confirmer — cours non trouvé en cat. Licence)	cours	—	—	—	NOT FOUND sur e-learning	à chercher via catalogues/fac
Introduction à l'IA	S2	cours Master uniquement (5745/5825 — non L1)	—	—	—	course id 5745 (M1 ILC), 5825 (M1 IATI)	NOT_OBTAINABLE_L1	ces cours sont de niveau Master — ne pas mélanger avec L1
Électricité/Physique	S1	"Mécanique et Electricité" id 171/165 (guest AVEC mot de passe)	cours	—	OFFICIAL_UBMA	course/view.php?id=171 ; id=165	BLOQUE_ACCES	guest requires password	autre département? L1 SM n'a pas de cours élec. visible
Électronique générale	S2	cours Fac. Electronique (2997 « Eléments de physique des composants électroniques » guest)	cours d'autres filières	—	PUBLIC_UNIVERSITY	course/view.php?id=2997 etc.	INVENTORIE_HORS_PERIMETRE	—	cours des filières électron./FSI, pas spécifique L1 SI S2
Anglais/TCE	S1	multiples cours « Anglais » (id 658 4032 181…) selon départements	cours	—	PUBLIC_UNIVERSITY	course/search.php?search=anglais (85 résultats)	INVENTORIE	—	pas de cours L1 SI identifié sans ambiguïté
Histoire des Sciences	S1	"Cours Histoire de Sciences — étudiants admis avec crédits (ancien programme)" (id 3472)	cours	2019-2020 (estimation)	OFFICIAL_UBMA	course/view.php?id=3472	INVENTORIE	page non énumérée (bug proxy)	enseignant M.L. Soltani; guest OK; + optionnel id 1584
Citoyenneté & patriotisme	S2	aucun cours trouvé sur e-learning	—	—	—	—	NOT FOUND	à confirmer via catalogue 2025/2026 ou nouveau portail
Logiciels libres / Open Source	S1	aucun cours trouvé sur e-learning	—	—	—	—	NOT FOUND	idem
Programmation C évolué	S2	id 2510 (guest; cat Licence)	cours	—	OFFICIAL_UBMA	course/view.php?id=2510	INVENTORIE	—	peut couvrir besoin « outils de programmation »
Référentiel coefficients	S1+S2	"Comment calculer votre moyenne et vos crédits — Nouveau Programme" (.doc)	document officiel	non daté (≈2019-2021)	OFFICIAL_UBMA	pluginfile.php/65158/…	CAPTURE en attente	jina-parsable	divergences vs Catalogue NOTÉES; intégration interdite (Priority 5)
Telegram 22 fichiers	TOTAL	index (msg-ids, tailles, noms)	index	—	UNKNOWN	MANIFEST.md	0/22 binaire	—	ne pas re-tenter la voie binaire (prouvée indisponible)
Structure Machine 1	S1	Capture texte Chapitre 1 (7p, partielle 1/2)	COURS	2019-2020	OFFICIAL_UBMA	pluginfile 29143	CAPTURéE	écrite (4386 o)	raison partialité: bug proxy chunk 2
Structure Machine 1	S1	Capture texte Chapitre 2 (9p, partielle 1/2)	COURS	2019-2020	OFFICIAL_UBMA	pluginfile 29144	CAPTURéE	écrite	idem
Structure Machine 1	S1	Capture texte Chapitre 3 (14p, chunk 1/2, intro p1 non rendue)	COURS	2019-2020	OFFICIAL_UBMA	pluginfile 29145	CAPTURéE	écrite	IEEE754: section détaillée non incluse
Structure Machine 1	S1	Capture texte Chapitre 4 (10p COMPLÈTE)	COURS	2019-2020	OFFICIAL_UBMA	pluginfile 29146	CAPTURéE	écrite	document entier
Structure Machine 2	S2	Capture Série TD 1 (2p COMPLÈTE)	SERIES	2019-2020	OFFICIAL_UBMA	view 12492	CAPTURéE	écrite	Karnaugh/majorité/assurance
Structure Machine 2	S2	Capture Corrigé Série 1 (4p)	CORRECTION	2019-2020	OFFICIAL_UBMA	view 12494	CAPTURéE	écrite	table vérité 16 lignes restituée
Structure Machine 2	S2	Capture Série TD 2 (2p COMPLÈTE)	SERIES	2019-2020	OFFICIAL_UBMA	view 15734	CAPTURéE	écrite	mux/additionneurs
Structure Machine 2	S2	Série 3 (12493) + Corrigés 15735/12495 + 5 PDF solutions	—	2019-2020	OFFICIAL_UBMA	view ids cités	ACCESSIBLE_NON_CAPTURé	raison: budget session	à capturer sur demande
DIVERS	—	curriculum-coverage.md	ANALYSE	—	—	notes/	ÉCRIT	lu vs 2 sources	structuré par module, read-only
DIVERS	—	programme-conflicts.md	CONFLITS	—	—	notes/	ÉCRIT	3 conflits documentés	aucun arbitrage
